,chapter_number,word,count
524,1,another,3
525,1,said,8
526,1,further,1
527,1,day,1
528,1,ever,4
529,1,lovely,1
530,1,cheated,1
531,1,sleepy,2
532,1,first,4
533,1,creep,1
534,1,poison,3
535,1,opened,2
536,1,remembered,1
537,1,two,2
538,1,could,8
539,1,children,1
540,1,afterwards,1
541,1,considering,2
542,1,stupid,2
543,1,words,3
544,1,later,1
545,1,indeed,2
546,1,best,1
547,1,every,1
548,1,up,12
549,1,somebody,1
550,1,feel,2
551,1,must,2
552,1,still,2
553,1,look,3
554,1,my,5
555,1,listen,1
556,1,hold,1
557,1,overhead,1
558,1,picking,1
559,1,their,2
560,1,learnt,1
561,1,climb,1
562,1,crying,1
563,1,off,6
564,1,garden,4
565,1,even,3
566,1,go,2
567,1,flashed,1
568,1,advice,1
569,1,put,2
570,1,listening,1
571,1,bright,1
572,1,left,1
573,1,grow,2
574,1,girl,1
575,1,idea,1
576,1,hanging,1
577,1,who,1
578,1,else,1
579,1,eats,1
580,1,growing,1
581,1,whether,2
582,1,cake,3
583,1,label,1
584,1,daisies,1
585,1,over,3
586,1,unpleasant,1
587,1,wish,2
588,1,curtseying,1
589,1,here,4
590,1,sometimes,2
591,1,really,1
592,1,see,10
593,1,flowers,1
594,1,twice,1
595,1,have,2
596,1,delight,1
597,1,shelves,1
598,1,flavour,1
599,1,pictures,3
600,1,cried,1
601,1,book,3
602,1,rabbit,6
603,1,showing,1
604,2,me,6
605,2,lying,2
606,2,saying,2
607,2,the,93
608,2,time,5
609,2,started,1
610,2,fender,1
611,2,crowded,1
612,2,stay,2
613,2,life,1
614,2,sits,1
615,2,getting,2
616,2,won,5
617,2,good,2
618,2,down,11
619,2,did,2
620,2,mouseto,1
621,2,high,4
622,2,trouble,1
623,2,far,2
624,2,next,2
625,2,his,3
626,2,english,3
627,2,question,1
628,2,worse,1
629,2,hurt,1
630,2,pattering,1
631,2,any,5
632,2,please,1
633,2,fallen,2
634,2,mine,1
635,2,himself,1
636,2,was,35
637,2,got,2
638,2,où,1
639,2,lazily,1
640,2,faceand,1
641,2,good-bye,1
642,2,washing,1
643,2,almost,2
644,2,right,3
645,2,by,5
646,2,punished,1
647,2,shut,1
648,2,end,1
649,2,creatures,1
650,2,railway,2
651,2,more,3
652,2,own,2
653,2,hastily,3
654,2,chin,1
655,2,dodo,1
656,2,age,1
657,2,might,1
